계산일자,통화코드,시장평균환율
2020-06-08,EUR,1376.19
2020-06-08,JPY,1111.3
2020-06-08,USD,1213.1
2020-06-09,CNY,170.08
2020-06-09,EUR,1360.02
2020-06-09,JPY,1099.67
2020-06-09,USD,1204.2
2020-06-10,CNY,169.42
2020-06-10,EUR,1352.55
2020-06-10,JPY,1107.84
2020-06-10,USD,1197.7
2020-06-11,CNY,168.94
2020-06-11,EUR,1355.42
2020-06-11,JPY,1109.53
2020-06-11,USD,1194.4
2020-06-12,CNY,168.88
2020-06-12,EUR,1355.77
2020-06-12,JPY,1114.41
2020-06-12,USD,1192.8
2020-06-15,CNY,170.45
2020-06-15,EUR,1362.79
2020-06-15,JPY,1129
2020-06-15,USD,1206.6
2020-06-16,CNY,170.8
2020-06-16,EUR,1362.11
2020-06-16,JPY,1129.28
2020-06-16,USD,1210.8
2020-06-17,CNY,170.74
2020-06-17,EUR,1367.88
2020-06-17,JPY,1123.25
2020-06-17,USD,1206.6
2020-06-18,CNY,171.49
2020-06-18,EUR,1368.68
2020-06-18,JPY,1132.65
2020-06-18,USD,1214.5
2020-06-19,CNY,171.41
2020-06-19,EUR,1363.92
2020-06-19,JPY,1135.33
2020-06-19,USD,1213
2020-06-22,CNY,171.21
2020-06-22,EUR,1358.68
2020-06-22,JPY,1133.88
2020-06-22,USD,1212
2020-06-23,CNY,171.49
2020-06-23,EUR,1357.6
2020-06-23,JPY,1135.22
2020-06-23,USD,1213.2
2020-06-24,CNY,171.24
2020-06-24,EUR,1363.37
2020-06-24,JPY,1131.81
2020-06-24,USD,1210.1
2020-06-25,CNY,170.45
2020-06-25,EUR,1361.71
2020-06-25,JPY,1129.37
2020-06-25,USD,1202.9
2020-06-26,CNY,170.31
2020-06-26,EUR,1356.5
2020-06-26,JPY,1125.62
2020-06-26,USD,1205.2
2020-06-29,CNY,169.34
2020-06-29,EUR,1344.79
2020-06-29,JPY,1118.87
2020-06-29,USD,1198.6
2020-06-30,CNY,169.69
2020-06-30,EUR,1349.61
2020-06-30,JPY,1120.32
2020-06-30,USD,1200.7
2020-07-01,CNY,169.46
2020-07-01,EUR,1346.52
2020-07-01,JPY,1112.35
2020-07-01,USD,1198.5
2020-07-02,CNY,169.96
2020-07-02,EUR,1349.03
2020-07-02,JPY,1114.22
2020-07-02,USD,1201.6
2020-07-03,CNY,169.96
2020-07-03,EUR,1352.09
2020-07-03,JPY,1117.94
2020-07-03,USD,1201
2020-07-06,CNY,169.84
2020-07-06,EUR,1349.41
2020-07-06,JPY,1116.62
2020-07-06,USD,1200.4
2020-07-07,CNY,169.64
2020-07-07,EUR,1349.55
2020-07-07,JPY,1111.72
2020-07-07,USD,1196.8
2020-07-08,CNY,170.18
2020-07-08,EUR,1349.86
2020-07-08,JPY,1111.12
2020-07-08,USD,1192.9
2020-07-09,CNY,170.33
2020-07-09,EUR,1348.48
2020-07-09,JPY,1111.34
2020-07-09,USD,1195.8
2020-07-10,CNY,170.8
2020-07-10,EUR,1355.11
2020-07-10,JPY,1113.27
2020-07-10,USD,1194.5
2020-07-13,CNY,171.62
2020-07-13,EUR,1355.33
2020-07-13,JPY,1122.73
2020-07-13,USD,1202.4
2020-07-14,CNY,171.44
2020-07-14,EUR,1359.11
2020-07-14,JPY,1123.54
2020-07-14,USD,1200.3
2020-07-15,CNY,172.08
2020-07-15,EUR,1368.34
2020-07-15,JPY,1124.9
2020-07-15,USD,1206.4
2020-07-16,CNY,171.55
2020-07-16,EUR,1369.85
2020-07-16,JPY,1119.62
2020-07-16,USD,1200.7
2020-07-17,CNY,172.16
2020-07-17,EUR,1373.29
2020-07-17,JPY,1125.68
2020-07-17,USD,1204.1
2020-07-20,CNY,172.27
2020-07-20,EUR,1372.59
2020-07-20,JPY,1123.98
2020-07-20,USD,1205.7
2020-07-21,CNY,172.19
2020-07-21,EUR,1376.02
2020-07-21,JPY,1122.15
2020-07-21,USD,1203.7
2020-07-22,CNY,171.5
2020-07-22,EUR,1372.35
2020-07-22,JPY,1117.61
2020-07-22,USD,1198.1
2020-07-23,CNY,171.26
2020-07-23,EUR,1377.14
2020-07-23,JPY,1117.57
2020-07-23,USD,1193.7
2020-07-24,CNY,171.04
2020-07-24,EUR,1387.2
2020-07-24,JPY,1118.48
2020-07-24,USD,1198.5
2020-07-27,CNY,171.21
2020-07-27,EUR,1394.13
2020-07-27,JPY,1127.66
2020-07-27,USD,1201.3
2020-07-28,CNY,170.87
2020-07-28,EUR,1399.51
2020-07-28,JPY,1132.04
2020-07-28,USD,1196.6
2020-07-29,CNY,170.87
2020-07-29,EUR,1404.28
2020-07-29,JPY,1133.74
2020-07-29,USD,1195.1
2020-07-30,CNY,170.72
2020-07-30,EUR,1402.18
2020-07-30,JPY,1138.1
2020-07-30,USD,1195.2
2020-07-31,CNY,170.2
2020-07-31,EUR,1402.45
2020-07-31,JPY,1133.53
2020-07-31,USD,1191.4
2020-08-03,CNY,170.04
2020-08-03,EUR,1413.07
2020-08-03,JPY,1139.4
2020-08-03,USD,1189.1
2020-08-04,CNY,170.96
2020-08-04,EUR,1404.95
2020-08-04,JPY,1127.03
2020-08-04,USD,1193.7
2020-08-05,CNY,170.9
2020-08-05,EUR,1403.67
2020-08-05,JPY,1124.68
2020-08-05,USD,1193.5
2020-08-06,CNY,170.93
2020-08-06,EUR,1406.18
